sample, time_ms
1265, -265.6250
1266, -264.6484
1267, -263.6719
1268, -262.6953
1269, -261.7188
1270, -260.7422
1271, -259.7656
1272, -258.7891
1273, -257.8125
1274, -256.8359
1275, -255.8594
1276, -254.8828
1277, -253.9063
1278, -252.9297
1279, -251.9531
1280, -250.9766
1281, -250.0000
1282, -249.0234
1283, -248.0469
1284, -247.0703
1285, -246.0938
1286, -245.1172
1287, -244.1406
1288, -243.1641
1289, -242.1875
1290, -241.2109
1291, -240.2344
1292, -239.2578
1293, -238.2813
1294, -237.3047
1295, -236.3281
1296, -235.3516
1297, -234.3750
1298, -233.3984
1299, -232.4219
1300, -231.4453
1301, -230.4688
1302, -229.4922
1303, -228.5156
1304, -227.5391
1305, -226.5625
1306, -225.5859
1307, -224.6094
1308, -223.6328
1309, -222.6563
1310, -221.6797
1311, -220.7031
1312, -219.7266
1313, -218.7500
1314, -217.7734
1315, -216.7969
1316, -215.8203
1317, -214.8438
1318, -213.8672
1319, -212.8906
1320, -211.9141
1321, -210.9375
1322, -209.9609
1323, -208.9844
1324, -208.0078
1325, -207.0313
1326, -206.0547
1327, -205.0781
1328, -204.1016
1329, -203.1250
1330, -202.1484
1331, -201.1719
1332, -200.1953
1333, -199.2188
1334, -198.2422
1335, -197.2656
1336, -196.2891
1337, -195.3125
1338, -194.3359
1339, -193.3594
1340, -192.3828
1341, -191.4063
1342, -190.4297
1343, -189.4531
1344, -188.4766
1345, -187.5000
1346, -186.5234
1347, -185.5469
1348, -184.5703
1349, -183.5938
1350, -182.6172
1351, -181.6406
1352, -180.6641
1353, -179.6875
1354, -178.7109
1355, -177.7344
1356, -176.7578
1357, -175.7813
1358, -174.8047
1359, -173.8281
1360, -172.8516
1361, -171.8750
1362, -170.8984
1363, -169.9219
1364, -168.9453
1365, -167.9688
1366, -166.9922
1367, -166.0156
1368, -165.0391
1369, -164.0625
1370, -163.0859
1371, -162.1094
1372, -161.1328
1373, -160.1563
1374, -159.1797
1375, -158.2031
1376, -157.2266
1377, -156.2500
1378, -155.2734
1379, -154.2969
1380, -153.3203
1381, -152.3438
1382, -151.3672
1383, -150.3906
1384, -149.4141
1385, -148.4375
1386, -147.4609
1387, -146.4844
1388, -145.5078
1389, -144.5313
1390, -143.5547
1391, -142.5781
1392, -141.6016
1393, -140.6250
1394, -139.6484
1395, -138.6719
1396, -137.6953
1397, -136.7188
1398, -135.7422
1399, -134.7656
1400, -133.7891
1401, -132.8125
1402, -131.8359
1403, -130.8594
1404, -129.8828
1405, -128.9063
1406, -127.9297
1407, -126.9531
1408, -125.9766
1409, -125.0000
1410, -124.0234
1411, -123.0469
1412, -122.0703
1413, -121.0938
1414, -120.1172
1415, -119.1406
1416, -118.1641
1417, -117.1875
1418, -116.2109
1419, -115.2344
1420, -114.2578
1421, -113.2813
1422, -112.3047
1423, -111.3281
1424, -110.3516
1425, -109.3750
1426, -108.3984
1427, -107.4219
1428, -106.4453
1429, -105.4688
1430, -104.4922
1431, -103.5156
1432, -102.5391
1433, -101.5625
1434, -100.5859
1435, -99.6094
1436, -98.6328
1437, -97.6563
1438, -96.6797
1439, -95.7031
1440, -94.7266
1441, -93.7500
1442, -92.7734
1443, -91.7969
1444, -90.8203
1445, -89.8438
1446, -88.8672
1447, -87.8906
1448, -86.9141
1449, -85.9375
1450, -84.9609
1451, -83.9844
1452, -83.0078
1453, -82.0313
1454, -81.0547
1455, -80.0781
1456, -79.1016
1457, -78.1250
1458, -77.1484
1459, -76.1719
1460, -75.1953
1461, -74.2188
1462, -73.2422
1463, -72.2656
1464, -71.2891
1465, -70.3125
1466, -69.3359
1467, -68.3594
1468, -67.3828
1469, -66.4063
1470, -65.4297
1471, -64.4531
1472, -63.4766
1473, -62.5000
1474, -61.5234
1475, -60.5469
1476, -59.5703
1477, -58.5938
1478, -57.6172
1479, -56.6406
1480, -55.6641
1481, -54.6875
1482, -53.7109
1483, -52.7344
1484, -51.7578
1485, -50.7813
1486, -49.8047
1487, -48.8281
1488, -47.8516
1489, -46.8750
1490, -45.8984
1491, -44.9219
1492, -43.9453
1493, -42.9688
1494, -41.9922
1495, -41.0156
1496, -40.0391
1497, -39.0625
1498, -38.0859
1499, -37.1094
1500, -36.1328
1501, -35.1563
1502, -34.1797
1503, -33.2031
1504, -32.2266
1505, -31.2500
1506, -30.2734
1507, -29.2969
1508, -28.3203
1509, -27.3438
1510, -26.3672
1511, -25.3906
1512, -24.4141
1513, -23.4375
1514, -22.4609
1515, -21.4844
1516, -20.5078
1517, -19.5313
1518, -18.5547
1519, -17.5781
1520, -16.6016
1521, -15.6250
1522, -14.6484
1523, -13.6719
1524, -12.6953
1525, -11.7188
1526, -10.7422
1527, -9.7656
1528, -8.7891
1529, -7.8125
1530, -6.8359
1531, -5.8594
1532, -4.8828
1533, -3.9063
1534, -2.9297
1535, -1.9531
1536, -0.9766
1537, 0.0000
1538, 0.9766
1539, 1.9531
1540, 2.9297
1541, 3.9063
1542, 4.8828
1543, 5.8594
1544, 6.8359
1545, 7.8125
1546, 8.7891
1547, 9.7656
1548, 10.7422
1549, 11.7188
1550, 12.6953
1551, 13.6719
1552, 14.6484
1553, 15.6250
1554, 16.6016
1555, 17.5781
1556, 18.5547
1557, 19.5313
1558, 20.5078
1559, 21.4844
1560, 22.4609
1561, 23.4375
1562, 24.4141
1563, 25.3906
1564, 26.3672
1565, 27.3438
1566, 28.3203
1567, 29.2969
1568, 30.2734
1569, 31.2500
1570, 32.2266
1571, 33.2031
1572, 34.1797
1573, 35.1563
1574, 36.1328
1575, 37.1094
1576, 38.0859
1577, 39.0625
1578, 40.0391
1579, 41.0156
1580, 41.9922
1581, 42.9688
1582, 43.9453
1583, 44.9219
1584, 45.8984
1585, 46.8750
1586, 47.8516
1587, 48.8281
1588, 49.8047
1589, 50.7813
1590, 51.7578
1591, 52.7344
1592, 53.7109
1593, 54.6875
1594, 55.6641
1595, 56.6406
1596, 57.6172
1597, 58.5938
1598, 59.5703
1599, 60.5469
1600, 61.5234
1601, 62.5000
1602, 63.4766
1603, 64.4531
1604, 65.4297
1605, 66.4063
1606, 67.3828
